1			20037508.352
2			10018754.176
3			5009377.088
4			2504688.544
5			1252344.272
6			626172.136
7			313086.068
8			156543.034
9			78271.517
10			39135.7585
11			19567.87925
12			9783.939625
13			4891.9698125
14			2445.98490625
15			1222.992453125
16			611.4962265625
17			305.74811328125
18			152.874056640625
19			76.4370283203125
20			38.2185141601562
21			19.1092570800781
22			9.55462854003906
23			4.77731427001953
24			2.38865713500977
25			1.19432856750488
26			0.597164283752441
27			0.298582141876221
28			0.14929107093811
29			0.074645535469055
30			0.037322767734528
31			0.018661383867264
